50 10
0 1 15
0 2 20
0 3 24
0 4 20
0 5 24
0 6 18
0 7 25
0 8 20
0 9 20
0 10 19
0 11 21
0 12 16
0 13 21
0 14 19
0 15 17
0 16 18
0 17 20
0 18 26
0 19 20
0 20 24
0 21 27
0 22 20
0 23 21
0 24 24
0 25 22
0 26 16
0 27 29
0 28 20
0 29 19
0 30 23
0 31 22
0 32 24
0 33 26
0 34 27
0 35 20
0 36 21
0 37 21
0 38 16
0 39 18
0 40 21
0 41 22
0 42 19
0 43 22
0 44 19
0 45 22
0 46 22
0 47 19
0 48 20
0 49 17
1 2 19
1 3 27
1 4 21
1 5 26
1 6 20
1 7 26
1 8 20
1 9 21
1 10 19
1 11 20
1 12 19
1 13 23
1 14 21
1 15 25
1 16 21
1 17 22
1 18 26
1 19 21
1 20 25
1 21 26
1 22 22
1 23 22
1 24 28
1 25 21
1 26 17
1 27 28
1 28 21
1 29 18
1 30 22
1 31 22
1 32 24
1 33 27
1 34 24
1 35 23
1 36 20
1 37 21
1 38 19
1 39 27
1 40 22
1 41 20
1 42 19
1 43 25
1 44 19
1 45 26
1 46 25
1 47 20
1 48 17
1 49 18
2 3 25
2 4 22
2 5 25
2 6 24
2 7 20
2 8 22
2 9 24
2 10 24
2 11 24
2 12 23
2 13 24
2 14 25
2 15 20
2 16 18
2 17 25
2 18 20
2 19 24
2 20 18
2 21 27
2 22 22
2 23 25
2 24 30
2 25 26
2 26 23
2 27 28
2 28 26
2 29 25
2 30 24
2 31 26
2 32 26
2 33 27
2 34 23
2 35 24
2 36 23
2 37 25
2 38 22
2 39 25
2 40 24
2 41 23
2 42 21
2 43 26
2 44 25
2 45 22
2 46 27
2 47 25
2 48 24
2 49 24
3 4 19
3 5 28
3 6 26
3 7 26
3 8 25
3 9 25
3 10 21
3 11 20
3 12 25
3 13 24
3 14 24
3 15 25
3 16 23
3 17 28
3 18 26
3 19 29
3 20 24
3 21 24
3 22 24
3 23 26
3 24 24
3 25 25
3 26 23
3 27 25
3 28 26
3 29 26
3 30 27
3 31 27
3 32 30
3 33 25
3 34 27
3 35 28
3 36 27
3 37 25
3 38 26
3 39 27
3 40 27
3 41 28
3 42 22
3 43 21
3 44 25
3 45 25
3 46 29
3 47 28
3 48 26
3 49 26
4 5 26
4 6 20
4 7 25
4 8 17
4 9 21
4 10 19
4 11 21
4 12 21
4 13 21
4 14 23
4 15 24
4 16 20
4 17 25
4 18 19
4 19 21
4 20 22
4 21 24
4 22 23
4 23 22
4 24 22
4 25 21
4 26 21
4 27 27
4 28 23
4 29 19
4 30 25
4 31 25
4 32 25
4 33 25
4 34 20
4 35 22
4 36 21
4 37 23
4 38 20
4 39 25
4 40 19
4 41 22
4 42 18
4 43 23
4 44 16
4 45 24
4 46 22
4 47 21
4 48 20
4 49 22
5 6 26
5 7 28
5 8 25
5 9 27
5 10 26
5 11 28
5 12 27
5 13 26
5 14 27
5 15 26
5 16 24
5 17 27
5 18 23
5 19 30
5 20 24
5 21 28
5 22 26
5 23 28
5 24 27
5 25 25
5 26 28
5 27 29
5 28 26
5 29 26
5 30 27
5 31 26
5 32 30
5 33 29
5 34 19
5 35 27
5 36 26
5 37 28
5 38 29
5 39 27
5 40 26
5 41 28
5 42 26
5 43 30
5 44 27
5 45 24
5 46 27
5 47 28
5 48 24
5 49 25
6 7 22
6 8 12
6 9 12
6 10 19
6 11 21
6 12 16
6 13 19
6 14 19
6 15 21
6 16 19
6 17 19
6 18 25
6 19 16
6 20 24
6 21 26
6 22 20
6 23 20
6 24 25
6 25 20
6 26 17
6 27 30
6 28 17
6 29 16
6 30 23
6 31 19
6 32 23
6 33 27
6 34 25
6 35 15
6 36 18
6 37 19
6 38 15
6 39 26
6 40 16
6 41 19
6 42 18
6 43 23
6 44 17
6 45 21
6 46 22
6 47 17
6 48 18
6 49 17
7 8 18
7 9 21
7 10 24
7 11 24
7 12 23
7 13 21
7 14 24
7 15 24
7 16 19
7 17 24
7 18 19
7 19 27
7 20 18
7 21 24
7 22 25
7 23 22
7 24 29
7 25 23
7 26 25
7 27 29
7 28 25
7 29 26
7 30 24
7 31 24
7 32 25
7 33 25
7 34 23
7 35 27
7 36 26
7 37 25
7 38 25
7 39 27
7 40 23
7 41 24
7 42 23
7 43 24
7 44 25
7 45 23
7 46 27
7 47 26
7 48 22
7 49 26
8 9 15
8 10 17
8 11 21
8 12 17
8 13 17
8 14 20
8 15 20
8 16 16
8 17 19
8 18 21
8 19 20
8 20 22
8 21 25
8 22 20
8 23 22
8 24 27
8 25 20
8 26 18
8 27 27
8 28 16
8 29 16
8 30 25
8 31 22
8 32 21
8 33 23
8 34 22
8 35 21
8 36 19
8 37 20
8 38 18
8 39 26
8 40 16
8 41 17
8 42 13
8 43 21
8 44 17
8 45 21
8 46 24
8 47 16
8 48 17
8 49 17
9 10 20
9 11 21
9 12 17
9 13 20
9 14 16
9 15 21
9 16 19
9 17 20
9 18 25
9 19 19
9 20 23
9 21 24
9 22 20
9 23 20
9 24 25
9 25 15
9 26 17
9 27 27
9 28 19
9 29 18
9 30 23
9 31 20
9 32 23
9 33 26
9 34 23
9 35 19
9 36 18
9 37 16
9 38 18
9 39 27
9 40 20
9 41 20
9 42 20
9 43 21
9 44 19
9 45 22
9 46 21
9 47 19
9 48 18
9 49 20
10 11 18
10 12 19
10 13 22
10 14 22
10 15 21
10 16 20
10 17 19
10 18 25
10 19 20
10 20 23
10 21 23
10 22 19
10 23 21
10 24 25
10 25 16
10 26 19
10 27 25
10 28 17
10 29 17
10 30 27
10 31 22
10 32 24
10 33 24
10 34 24
10 35 20
10 36 20
10 37 21
10 38 18
10 39 25
10 40 20
10 41 19
10 42 18
10 43 24
10 44 17
10 45 24
10 46 23
10 47 16
10 48 16
10 49 18
11 12 18
11 13 22
11 14 21
11 15 20
11 16 20
11 17 24
11 18 26
11 19 20
11 20 26
11 21 16
11 22 14
11 23 21
11 24 27
11 25 23
11 26 21
11 27 24
11 28 20
11 29 21
11 30 25
11 31 23
11 32 25
11 33 26
11 34 23
11 35 21
11 36 20
11 37 22
11 38 16
11 39 23
11 40 20
11 41 22
11 42 18
11 43 26
11 44 19
11 45 23
11 46 23
11 47 20
11 48 20
11 49 21
12 13 19
12 14 18
12 15 18
12 16 14
12 17 22
12 18 24
12 19 20
12 20 23
12 21 25
12 22 18
12 23 21
12 24 25
12 25 19
12 26 13
12 27 29
12 28 17
12 29 17
12 30 24
12 31 21
12 32 24
12 33 25
12 34 25
12 35 19
12 36 19
12 37 19
12 38 17
12 39 25
12 40 17
12 41 17
12 42 18
12 43 22
12 44 14
12 45 23
12 46 23
12 47 14
12 48 13
12 49 15
13 14 14
13 15 18
13 16 18
13 17 23
13 18 20
13 19 22
13 20 22
13 21 21
13 22 24
13 23 22
13 24 26
13 25 18
13 26 20
13 27 26
13 28 17
13 29 22
13 30 23
13 31 21
13 32 23
13 33 23
13 34 20
13 35 22
13 36 23
13 37 20
13 38 23
13 39 25
13 40 20
13 41 21
13 42 20
13 43 20
13 44 18
13 45 16
13 46 24
13 47 20
13 48 18
13 49 20
14 15 17
14 16 18
14 17 22
14 18 25
14 19 20
14 20 26
14 21 23
14 22 21
14 23 19
14 24 26
14 25 17
14 26 17
14 27 28
14 28 20
14 29 21
14 30 25
14 31 20
14 32 24
14 33 26
14 34 22
14 35 23
14 36 20
14 37 19
14 38 23
14 39 27
14 40 22
14 41 23
14 42 21
14 43 16
14 44 21
14 45 20
14 46 23
14 47 19
14 48 18
14 49 19
15 16 20
