,CODE,DATE,PX_LAST,PX_HIGH,PX_LOW,PX_MID,PX_OPEN,VOLUME,PX_SETTLE
0,IBOV INDEX,2014-01-02,50341.3,51656.1,50246.3,,51522.2,347633800.0,
1,IBOV INDEX,2014-01-03,50981.1,50981.1,50268.7,,50348.3,736101100.0,
2,IBOV INDEX,2014-01-06,50973.6,51002.3,50451.4,,50980.1,356981700.0,
3,IBOV INDEX,2014-01-07,50430.0,51477.8,50429.1,,50981.6,333947200.0,
4,IBOV INDEX,2014-01-08,50576.6,50792.6,50423.6,,50431.2,291650800.0,
5,IBOV INDEX,2014-01-09,49321.7,50575.8,49258.6,,50575.8,370248400.0,
6,IBOV INDEX,2014-01-10,49696.4,50145.4,49267.3,,49321.7,350969800.0,
7,IBOV INDEX,2014-01-13,49426.9,50003.2,49308.8,,49708.3,280292500.0,
8,IBOV INDEX,2014-01-14,49703.1,49833.5,49263.1,,49421.1,288780600.0,
9,IBOV INDEX,2014-01-15,50105.4,50229.8,49715.0,,49715.0,283567400.0,
10,IBOV INDEX,2014-01-16,49696.3,50577.4,49628.0,,50106.3,294446100.0,
11,IBOV INDEX,2014-01-17,49181.9,49868.2,49174.0,,49696.3,261461300.0,
12,IBOV INDEX,2014-01-20,48708.4,49292.2,48673.1,,49180.6,141297900.0,
13,IBOV INDEX,2014-01-21,48542.1,49123.5,48440.1,,48728.2,310430900.0,
14,IBOV INDEX,2014-01-22,49299.7,49487.0,48543.0,,48543.0,387330200.0,
15,IBOV INDEX,2014-01-23,48320.6,49598.4,48320.6,,49293.6,388171700.0,
16,IBOV INDEX,2014-01-24,47787.4,48327.1,47494.0,,48325.3,353498300.0,
17,IBOV INDEX,2014-01-27,47701.1,48146.9,47492.7,,47781.5,293600200.0,
18,IBOV INDEX,2014-01-28,47840.9,48487.5,47749.9,,47749.9,269450000.0,
19,IBOV INDEX,2014-01-29,47556.8,47884.1,47154.0,,47839.0,332441400.0,
20,IBOV INDEX,2014-01-30,47244.3,48034.0,47114.7,,47553.8,310825900.0,
21,IBOV INDEX,2014-01-31,47639.0,47652.4,46813.7,,47233.7,371871000.0,
22,IBOV INDEX,2014-02-03,46147.5,47622.8,46109.4,,47622.8,362235900.0,
23,IBOV INDEX,2014-02-04,46964.2,47131.6,46145.9,,46147.5,347159300.0,
24,IBOV INDEX,2014-02-05,46624.4,47148.4,46224.2,,46964.2,335887400.0,
25,IBOV INDEX,2014-02-06,47738.1,48033.7,46632.2,,46632.2,363222800.0,
26,IBOV INDEX,2014-02-07,48073.6,48253.2,47556.9,,47739.5,319920900.0,
27,IBOV INDEX,2014-02-10,47710.8,48135.9,47464.6,,48070.3,263618300.0,
28,IBOV INDEX,2014-02-11,48462.8,48603.7,47589.0,,47715.4,338154500.0,
29,IBOV INDEX,2014-02-12,48216.9,48669.2,48044.4,,48467.2,277006500.0,
30,IBOV INDEX,2014-02-13,47812.8,48211.0,47129.0,,48211.0,316974500.0,
31,IBOV INDEX,2014-02-14,48201.1,48313.8,47756.2,,47815.6,319391000.0,
32,IBOV INDEX,2014-02-17,47576.3,48297.9,47540.3,,48199.8,188500400.0,
33,IBOV INDEX,2014-02-18,46599.8,47712.3,46599.8,,47575.3,386591000.0,
34,IBOV INDEX,2014-02-19,47150.8,47155.2,46133.7,,46597.4,399896400.0,
35,IBOV INDEX,2014-02-20,47288.6,47600.4,46634.2,,47126.9,300028900.0,
36,IBOV INDEX,2014-02-21,47380.2,47815.6,47075.3,,47289.8,260868800.0,
37,IBOV INDEX,2014-02-24,47393.5,47538.6,46991.3,,47375.8,299295500.0,
38,IBOV INDEX,2014-02-25,46715.9,47388.1,46613.6,,47388.1,292889100.0,
39,IBOV INDEX,2014-02-26,46599.2,47009.9,46403.0,,46717.5,322824000.0,
40,IBOV INDEX,2014-02-27,47606.8,47781.4,46621.8,,46621.8,304870800.0,
41,IBOV INDEX,2014-02-28,47094.4,47813.1,47043.5,,47613.5,409261600.0,
42,IBOV INDEX,2014-03-05,46589.0,47153.5,46472.9,,47092.2,229486200.0,
43,IBOV INDEX,2014-03-06,47093.1,47400.5,46501.6,,46591.9,316750000.0,
44,IBOV INDEX,2014-03-07,46244.1,47218.2,46086.2,,47093.1,398573400.0,
45,IBOV INDEX,2014-03-10,45533.2,46241.8,45203.5,,46241.8,367754900.0,
46,IBOV INDEX,2014-03-11,45697.6,46049.6,45401.1,,45533.2,328584200.0,
47,IBOV INDEX,2014-03-12,45861.8,45915.6,45507.9,,45687.0,302535700.0,
48,IBOV INDEX,2014-03-13,45443.8,46176.3,45250.3,,45863.9,312220200.0,
49,IBOV INDEX,2014-03-14,44965.7,45561.7,44904.8,,45444.3,348185400.0,
50,IBOV INDEX,2014-03-17,45117.8,45498.7,44968.7,,44979.0,293151700.0,
51,IBOV INDEX,2014-03-18,46151.0,46217.3,45074.7,,45115.4,360179700.0,
52,IBOV INDEX,2014-03-19,46567.2,46803.2,45910.0,,46153.0,334078500.0,
53,IBOV INDEX,2014-03-20,47278.5,47484.0,46150.5,,46565.1,436818000.0,
54,IBOV INDEX,2014-03-21,47380.9,47831.7,46721.0,,47272.0,419014200.0,
55,IBOV INDEX,2014-03-24,47993.4,48141.8,47382.0,,47382.0,301108800.0,
56,IBOV INDEX,2014-03-25,48180.1,48440.7,47949.9,,47993.4,296528800.0,
57,IBOV INDEX,2014-03-26,47965.6,48725.1,47963.0,,48181.9,347198200.0,
58,IBOV INDEX,2014-03-27,49646.8,49646.8,47962.0,,47964.6,594973800.0,
59,IBOV INDEX,2014-03-28,49768.1,50180.5,49606.0,,49653.3,424344100.0,
60,IBOV INDEX,2014-03-31,50414.9,50417.6,49769.7,,49769.7,366600500.0,
61,IBOV INDEX,2014-04-01,50270.4,50626.9,49773.6,,50412.1,351293200.0,
62,IBOV INDEX,2014-04-02,51701.1,51794.2,50200.9,,50273.1,481015400.0,
63,IBOV INDEX,2014-04-03,51408.2,51990.8,51059.1,,51711.8,343644800.0,
64,IBOV INDEX,2014-04-04,51081.8,52288.2,51034.4,,51428.3,375414200.0,
65,IBOV INDEX,2014-04-07,52155.3,52228.7,51115.3,,51115.3,375594000.0,
66,IBOV INDEX,2014-04-08,51629.1,53393.6,51377.2,,52173.0,552678000.0,
67,IBOV INDEX,2014-04-09,51185.4,51628.6,50652.8,,51628.6,424808600.0,
68,IBOV INDEX,2014-04-10,51127.5,51522.0,50732.1,,51185.4,362864200.0,
69,IBOV INDEX,2014-04-11,51867.3,51870.8,50517.9,,51127.5,343420800.0,
70,IBOV INDEX,2014-04-14,51596.6,52110.1,51361.3,,51867.1,271120900.0,
71,IBOV INDEX,2014-04-15,50454.4,51593.2,49890.2,,51593.2,387990900.0,
72,IBOV INDEX,2014-04-16,51200.6,51288.0,50469.2,,50469.2,345244400.0,
73,IBOV INDEX,2014-04-17,52111.9,52338.1,50886.8,,51200.7,303957200.0,
74,IBOV INDEX,2014-04-22,51976.9,52460.1,51681.9,,52112.3,352118800.0,
75,IBOV INDEX,2014-04-23,51569.7,51974.5,51399.9,,51974.5,287626700.0,
76,IBOV INDEX,2014-04-24,51817.4,51963.2,51237.6,,51569.7,320338000.0,
77,IBOV INDEX,2014-04-25,51399.4,51817.0,51019.3,,51817.0,297637000.0,
78,IBOV INDEX,2014-04-28,51383.7,51471.5,50776.6,,51396.8,273236500.0,
79,IBOV INDEX,2014-04-29,51838.6,52415.9,51386.2,,51386.2,435960800.0,
80,IBOV INDEX,2014-04-30,51626.7,51837.6,51250.6,,51837.6,464967900.0,
81,IBOV INDEX,2014-05-02,52980.3,53060.1,51628.2,,51630.3,804706500.0,
82,IBOV INDEX,2014-05-05,53446.2,53505.9,52931.2,,52988.8,430435300.0,
83,IBOV INDEX,2014-05-06,53779.7,53985.9,53093.5,,53446.2,495748400.0,
84,IBOV INDEX,2014-05-07,54052.7,54225.9,53498.8,,53786.1,455633200.0,
85,IBOV INDEX,2014-05-08,53422.4,54249.4,53222.4,,54052.6,334408600.0,
86,IBOV INDEX,2014-05-09,53100.3,53639.2,53056.6,,53422.4,316337600.0,
87,IBOV INDEX,2014-05-12,54052.9,54053.2,53102.7,,53102.7,274427000.0,
88,IBOV INDEX,2014-05-13,53907.5,54243.0,53730.9,,54056.4,295657500.0,
89,IBOV INDEX,2014-05-14,54412.5,54459.4,53866.8,,53913.3,287882700.0,
90,IBOV INDEX,2014-05-15,53855.5,54403.7,53565.3,,54403.7,343552400.0,
91,IBOV INDEX,2014-05-16,53975.8,54382.3,53708.8,,53855.5,354134100.0,
92,IBOV INDEX,2014-05-19,53353.1,53991.2,53266.6,,53975.5,308950000.0,
93,IBOV INDEX,2014-05-20,52366.2,53842.6,52312.5,,53352.6,394859800.0,
94,IBOV INDEX,2014-05-21,52203.4,52875.4,52203.4,,52366.4,324813200.0,
95,IBOV INDEX,2014-05-22,52806.2,52850.6,52132.8,,52205.8,294142200.0,
96,IBOV INDEX,2014-05-23,52626.4,52936.0,52403.1,,52807.5,246228100.0,
97,IBOV INDEX,2014-05-26,52932.9,53044.4,52649.8,,52649.8,118678500.0,
98,IBOV INDEX,2014-05-27,52174.0,53309.4,52079.2,,52931.6,289474200.0,
99,IBOV INDEX,2014-05-28,52639.8,52858.3,52009.4,,52174.0,284250700.0,
100,IBOV INDEX,2014-05-29,52239.3,52889.3,52031.3,,52649.3,239424800.0,
101,IBOV INDEX,2014-05-30,51239.3,52233.4,51239.3,,52233.4,453330800.0,
102,IBOV INDEX,2014-06-02,51605.8,51878.8,51239.3,,51239.3,259784200.0,
103,IBOV INDEX,2014-06-03,52032.4,52032.4,51377.4,,51605.8,285936800.0,
104,IBOV INDEX,2014-06-04,51833.0,52032.4,51608.7,,52032.4,257153300.0,
105,IBOV INDEX,2014-06-05,51558.8,52245.4,51469.8,,51833.0,289002100.0,
106,IBOV INDEX,2014-06-06,53128.7,53174.8,51561.8,,51561.8,429835600.0,
107,IBOV INDEX,2014-06-09,54273.2,54462.4,53091.2,,53128.7,365992500.0,
108,IBOV INDEX,2014-06-10,54604.3,54604.3,53959.5,,54273.1,372976500.0,
109,IBOV INDEX,2014-06-11,55102.4,55283.7,54676.5,,54676.5,379596400.0,
110,IBOV INDEX,2014-06-12,55102.4,55283.7,54676.5,,54676.5,,
111,IBOV INDEX,2014-06-13,54806.6,55104.2,54648.7,,55102.2,266434300.0,
112,IBOV INDEX,2014-06-16,54629.6,54854.8,54474.7,,54806.6,263685600.0,
113,IBOV INDEX,2014-06-17,54299.9,54638.0,54150.1,,54629.8,158843800.0,
114,IBOV INDEX,2014-06-18,55202.5,55202.5,54046.4,,54301.0,326538300.0,
115,IBOV INDEX,2014-06-19,,55202.5,54046.4,,54301.0,,
116,IBOV INDEX,2014-06-20,54638.2,55192.0,54540.2,,55192.0,234779600.0,
117,IBOV INDEX,2014-06-23,54210.1,54724.3,54097.1,,54636.6,140309000.0,
118,IBOV INDEX,2014-06-24,54280.8,55002.5,54093.9,,54194.3,312153300.0,
119,IBOV INDEX,2014-06-25,53425.7,54392.7,53362.6,,54280.8,295249600.0,
120,IBOV INDEX,2014-06-26,53506.8,53790.1,53331.3,,53426.7,224130300.0,
121,IBOV INDEX,2014-06-27,53157.3,53614.4,52918.6,,53506.7,237082700.0,
122,IBOV INDEX,2014-06-30,53168.2,53311.0,52709.4,,53158.5,244870900.0,
123,IBOV INDEX,2014-07-01,53171.5,53697.8,52886.8,,53170.5,269327100.0,
124,IBOV INDEX,2014-07-02,53028.8,53244.8,52734.7,,53170.9,315598800.0,
125,IBOV INDEX,2014-07-03,53874.6,53877.1,52759.6,,53028.8,330267200.0,
126,IBOV INDEX,2014-07-04,54055.9,54086.6,53703.7,,53892.9,75384100.0,
127,IBOV INDEX,2014-07-07,53801.8,54041.7,53376.1,,54041.7,219450400.0,
128,IBOV INDEX,2014-07-08,53634.7,53905.1,53459.5,,53813.9,185456100.0,
129,IBOV INDEX,2014-07-10,54592.8,54599.5,53643.0,,53643.0,472022200.0,
130,IBOV INDEX,2014-07-11,54785.9,54952.4,54319.8,,54592.8,337711300.0,
131,IBOV INDEX,2014-07-14,55744.0,55896.0,54786.0,,54786.0,417029700.0,
132,IBOV INDEX,2014-07-15,55973.6,56106.5,55629.1,,55742.2,322225900.0,
133,IBOV INDEX,2014-07-16,55717.4,56332.0,55573.1,,55973.5,409452700.0,
134,IBOV INDEX,2014-07-17,55637.5,56190.1,55237.0,,55711.6,397572400.0,
135,IBOV INDEX,2014-07-18,57012.9,57483.8,55638.9,,55638.9,529634400.0,
136,IBOV INDEX,2014-07-21,57633.9,57756.1,56864.1,,57013.9,303433100.0,
137,IBOV INDEX,2014-07-22,57983.3,58138.0,57500.1,,57635.8,301025400.0,
138,IBOV INDEX,2014-07-23,57420.0,57982.7,57141.9,,57982.7,273509200.0,
139,IBOV INDEX,2014-07-24,57977.6,58122.0,57357.1,,57420.2,304009500.0,
140,IBOV INDEX,2014-07-25,57821.1,58069.2,57648.4,,57977.6,242223600.0,
141,IBOV INDEX,2014-07-28,57695.7,58040.5,57414.5,,57823.1,236661400.0,
142,IBOV INDEX,2014-07-29,57118.8,58013.4,57082.9,,57697.4,270207100.0,
143,IBOV INDEX,2014-07-30,56878.0,57439.1,56706.0,,57118.7,244615700.0,
144,IBOV INDEX,2014-07-31,55829.4,56877.9,55502.2,,56877.9,348862100.0,
145,IBOV INDEX,2014-08-01,55902.9,56058.6,55266.9,,55827.4,322909200.0,
146,IBOV INDEX,2014-08-04,56616.3,56620.3,55585.5,,55906.4,219513700.0,
147,IBOV INDEX,2014-08-05,56202.1,56937.4,56063.6,,56621.1,375258000.0,
148,IBOV INDEX,2014-08-06,56487.2,56797.2,55695.6,,56201.6,400613500.0,
149,IBOV INDEX,2014-08-07,56188.1,56922.9,55985.5,,56487.2,304923300.0,
150,IBOV INDEX,2014-08-08,55572.9,56186.9,55319.4,,56186.9,301731600.0,
151,IBOV INDEX,2014-08-11,56613.3,56657.1,55578.0,,55578.0,267247300.0,
152,IBOV INDEX,2014-08-12,56442.3,56811.1,56312.1,,56613.2,214501600.0,
153,IBOV INDEX,2014-08-13,55581.2,56736.0,55238.6,,56454.2,481073000.0,
154,IBOV INDEX,2014-08-14,55780.4,55946.5,55436.9,,55557.5,304464700.0,
155,IBOV INDEX,2014-08-15,56963.6,56965.4,55783.2,,55783.2,343731800.0,
156,IBOV INDEX,2014-08-18,57560.7,57664.9,56968.4,,56968.4,326823100.0,
157,IBOV INDEX,2014-08-19,58449.3,58474.9,57371.0,,57561.2,348495900.0,
158,IBOV INDEX,2014-08-20,58878.2,59010.1,58320.0,,58449.9,330005400.0,
